	alpha0	alpha7	alpha14	alpha21	alpha28	alpha35	alpha42	alpha49	alpha56	alpha63	alpha70	alpha77	alpha84	alpha91	alpha98	alpha105	alpha112	alpha119
YER012W	0.14	0.12	0.19	0.13	-0.06	-0.22	0.31	0.17	0.21	-0.21	0.19	-0.19	-0.09	-0.21	0.04	-0.34	0.26	-0.43
YER011W	-0.4	-0.52	-0.69	0.85	-0.13	-0.55	0.22	-0.31	0.14	-0.13	-0.18	-0.28	0.33	0.12	0.57	0.29	0.59	0.08
YER010C	0.43	0.16	0.42	0.12	0.03	-0.18	0.37	0.14	-0.06	-0.31	-0.18	-0.35	0.06	-0.13	0.0	-0.33	0.22	-0.39
YER009W	0.2	0.24	0.12	0.04	0.3	0.04	0.22	0.08	0.03	-0.25	-0.07	-0.36	0.21	-0.44	0.14	-0.39	0.34	-0.44
YER008C	-0.41	-0.14	-0.01	-0.21	0.07	-0.09	0.11	0.02	0.13	-0.11	-0.11	0.32	0.01	-0.01	0.21	0.13	0.05	0.02
YER007W	0.16	-0.01	-0.01	-0.01	-0.04	0.1	0.16	0.13	0.04	-0.01	-0.03	0.05	0.14	-0.22	-0.08	-0.2	0.01	-0.18
YER007C-A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YER006W	0.17	-0.63	-0.65	-0.31	-0.13	0.17	-0.26	0.36	0.42	0.08	0.3	-0.01	-0.01	0.12	0.01	0.34	-0.02	0.04
YER005W	-0.04	-0.23	-0.11	0.0	-0.3	0.26	-0.07	-0.07	0.1	0.3	-0.02	-0.11	0.18	-0.09	-0.07	0.29	-0.04	0.03
YER004W	-0.61	-0.91	0.1	-0.18	0.34	0.37	0.11	-0.01	0.19	0.1	0.18	0.17	0.04	-0.13	-0.01	0.45	-0.01	-0.21
YER003C	-1.33	-0.69	-0.48	0.15	0.2	0.63	0.39	0.44	0.09	0.05	0.06	0.09	0.12	0.17	-0.05	0.32	-0.08	-0.09
YER002W	0.02	-0.45	-0.41	-0.12	-0.06	0.08	-0.35	0.2	0.29	-0.15	0.38	0.27	0.12	0.14	-0.06	0.42	-0.2	-0.13
YER001W	-2.29	-0.76	0.77	1.6	0.53	0.55	-0.38	-0.54	-1.08	-0.94	0.07	1.35	1.02	1.0	0.2	-0.04	-0.97	-0.87
YEL077C	-0.39	-0.41	0.98	0.9	-0.13	-0.3	-0.27	-0.6	-0.34	0.01	0.71	0.63	0.36	-0.19	0.04	-0.21	-0.3	-0.5
YEL076W-C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YEL076C-A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YEL076C	-1.0	-0.21	1.02	0.86	-0.47	0.1	-0.7	-0.38	-0.35	0.33	0.87	0.98	0.06	-0.08	-0.42	-0.12	-0.32	-0.15
YEL075C	-0.88	-0.12	1.08	0.76	-0.12	0.02	-1.03	-0.29	-0.11	0.02	1.03	0.97	0.05	-0.18	-0.33	0.08	-0.62	-0.33
YEL074W	-0.6	-0.1	0.4	0.27	-0.48	0.28	-0.46	-0.24	-0.01	0.32	0.43	0.44	0.11	-0.15	-0.15	0.04	-0.17	-0.04
YEL073C	0.13	0.03	0.3	0.4	-0.01	0.08	-0.46	0.08	0.02	-0.1	0.29	0.11	-0.05	-0.2	-0.22	0.15	-0.25	-0.31
YEL072W	-0.09	0.39	-0.07	0.02	-0.43	0.51	0.02	0.25	0.16	-0.1	-0.14	-0.1	0.08	-0.3	-0.48	0.07	0.1	0.12
YEL071W	-0.11	0.11	0.72	0.94	0.59	0.26	0.33	0.12	0.26	-0.31	-0.1	-0.39	-0.35	-0.33	-0.19	-0.66	-0.26	-0.64
YEL070W	0.06	0.16	0.25	0.12	0.12	0.16	0.09	0.01	0.01	0.08	-0.22	-0.03	0.23	-0.32	-0.31	-0.3	-0.05	-0.37
YEL069C	0.06	0.14	0.35	0.32	-0.11	-0.06	-0.01	0.02	-0.16	-0.08	0.04	0.08	-0.01	-0.25	-0.25	0.02	0.04	-0.14
YEL068C	0.4	0.32	0.34	0.23	0.18	0.19	0.18	-0.02	0.02	-0.02	-0.12	-0.05	0.2	-0.52	-0.03	-0.34	-0.47	-0.49
YEL067C	-0.03	-0.18	0.36	0.03	0.4	-0.14	0.24	0.01	0.03	-0.1	-0.04	-0.1	-0.01	-0.3	-0.04	-0.01	0.16	-0.25
YEL066W	-0.1	-0.04	0.24	0.13	0.37	0.24	0.36	-0.05	0.08	0.04	0.01	0.08	0.2	-0.32	-0.1	-0.28	-0.36	-0.5
YEL065W	-1.1	-1.3	-0.18	-0.25	-0.16	-0.31	0.29	0.33	0.75	0.44	0.5	0.02	-0.06	-0.26	0.35	0.2	0.65	0.09
YEL064C	-0.35	-0.17	0.47	0.25	0.36	-0.19	0.14	-0.34	-0.02	0.03	0.25	0.09	0.32	-0.11	-0.06	-0.25	-0.12	-0.3
YEL063C	0.11	-0.24	0.14	-0.22	0.1	-0.18	0.26	-0.15	0.11	-0.09	0.18	0.01	0.15	-0.07	-0.05	0.01	0.15	-0.2
YEL062W	0.06	0.16	0.12	0.09	0.15	-0.17	0.17	-0.04	-0.04	-0.15	-0.06	0.06	0.05	-0.15	-0.15	-0.01	0.0	-0.09
YEL061C	-0.45	-0.37	0.4	0.16	0.31	0.14	0.34	-0.17	-0.29	-0.31	-0.12	0.14	0.12	0.16	0.16	0.16	0.08	-0.31
YEL060C	0.6	1.03	0.88	0.79	0.31	-0.1	0.06	-0.15	-0.36	-0.27	-0.33	-0.11	-0.25	-0.61	-0.39	-0.4	-0.35	-0.35
YEL059W	0.44	-0.07	0.12	0.09	-0.13	0.13	-0.26	0.25	0.16	-0.19	0.13	-0.19	-0.04	-0.19	-0.14	0.24	-0.32	-0.01
YEL059C-A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YEL058W	0.53	0.31	0.25	0.13	-0.22	-0.03	-0.27	-0.35	0.08	0.16	0.32	0.06	-0.03	-0.43	-0.15	0.16	-0.43	-0.1
YEL057C	0.22	0.0	0.21	0.18	-0.12	0.26	-0.35	0.32	0.05	-0.4	0.04	-0.06	0.13	-0.31	-0.2	0.04	0.03	-0.06
YEL056W	-0.34	-0.34	-0.36	-0.2	-0.47	0.25	-0.12	0.24	0.18	0.35	0.23	0.05	0.11	-0.02	0.01	0.11	0.18	0.14
YEL055C	-0.19	-0.56	-0.56	-0.17	-0.14	0.13	-0.28	0.17	0.37	-0.12	0.5	0.29	0.13	0.08	0.03	0.49	-0.22	0.05
YEL054C	-0.29	-0.11	-0.37	0.04	-0.64	0.16	-0.43	0.1	0.12	0.34	0.21	-0.08	0.11	0.0	0.29	0.26	0.17	0.13
YEL053C	0.3	-0.44	-0.04	-0.17	-0.04	0.04	-0.23	0.12	0.42	-0.23	0.22	-0.07	-0.02	-0.04	0.05	0.43	-0.35	0.07
YEL052W	-0.06	0.04	-0.08	0.01	-0.51	-0.395	-0.28	0.02	0.04	0.34	0.27	0.02	0.2	-0.17	-0.09	0.2	-0.08	0.12
YEL051W	-0.02	-0.16	-0.21	-0.03	-0.26	0.11	-0.39	0.23	0.34	-0.26	0.22	0.05	0.05	-0.21	0.08	0.44	-0.06	0.1
YEL050C	-0.28	-0.17	-0.06	-0.255	-0.45	0.25	-0.04	0.01	0.19	0.33	0.28	-0.04	0.07	-0.11	-0.22	0.16	0.04	-0.08
YEL049W	0.16	-0.01	0.28	0.19	0.08	-0.08	-0.32	-0.18	0.17	-0.3	0.2	0.14	0.26	-0.09	0.08	0.17	-0.42	-0.36
YEL048C	-0.58	-0.385	-0.19	0.27	-0.21	0.31	-0.19	0.23	0.22	0.19	-0.08	-0.23	0.19	-0.17	-0.24	0.12	0.2	0.16
YEL047C	0.43	0.06	0.4	0.64	0.69	0.47	0.4	-0.06	-0.28	-0.56	-0.47	-0.23	0.01	-0.18	-0.01	-0.33	-0.15	-0.84
YEL046C	0.1	0.13	0.01	-0.02	0.07	0.1	0.38	0.04	0.0	-0.22	0.0	-0.16	0.13	-0.19	0.07	-0.2	0.15	-0.37
YEL045C	0.16	-0.12	0.05	-0.11	0.11	0.11	0.23	0.15	-0.12	0.12	-0.28	-0.15	-0.02	-0.09	-0.12	-0.08	0.31	-0.14
YEL044W	0.17	-0.18	-0.14	-0.18	0.05	0.08	0.29	-0.23	0.05	0.05	0.0	0.19	0.1	-0.19	-0.03	0.03	0.07	-0.12
YEL043W	-0.04	-0.37	-0.12	-0.35	0.2	-0.07	0.41	-0.02	0.1	0.06	0.01	0.03	-0.05	0.04	0.14	0.11	0.01	-0.08
YEL042W	-0.36	-0.67	-0.48	0.05	0.41	0.23	0.61	0.17	0.05	-0.21	-0.21	-0.17	0.18	0.04	0.31	0.14	0.17	-0.25
YEL041W	0.0	0.13	0.5	-0.06	0.07	-0.21	0.1	0.23	0.05	0.07	-0.31	-0.08	0.11	0.13	-0.46	-0.37	0.14	-0.03
YEL040W	0.11	0.21	0.74	0.5	-0.29	-0.47	-0.34	-0.29	-0.04	0.24	0.59	0.33	0.23	-0.31	-0.31	-0.45	-0.5	0.07
YEL039C	0.13	0.22	0.42	0.19	0.18	0.0	0.21	-0.1	-0.1	-0.17	-0.07	-0.04	0.03	-0.12	-0.27	-0.19	0.04	-0.37
YEL038W	0.0	0.1	0.02	0.14	-0.12	0.03	0.29	-0.07	0.02	-0.02	-0.12	-0.09	0.1	-0.28	0.03	-0.12	0.11	-0.02
YEL037C	0.03	-0.21	-0.19	-0.14	0.35	-0.03	0.38	0.18	0.28	0.0	-0.11	-0.14	-0.16	-0.14	-0.09	-0.03	0.14	-0.11
YEL036C	0.06	-0.21	-0.36	0.13	0.09	0.22	0.48	0.14	-0.11	-0.15	-0.4	-0.23	-0.11	0.14	0.0	0.09	0.33	-0.1
YEL035C	0.07	-0.08	-0.06	-0.15	-0.08	0.29	-0.13	-0.04	0.32	-0.15	0.17	0.11	0.08	-0.22	-0.1	0.35	-0.17	-0.22
YEL034W	-0.22	0.03	-0.06	0.25	-0.25	0.32	-0.2	0.03	0.27	0.18	0.1	-0.29	0.09	-0.38	0.17	0.02	0.07	-0.12
YEL033W	0.0	-0.25	-0.02	0.11	0.05	-0.06	-0.17	0.05	0.41	-0.19	0.31	-0.15	0.11	0.0	0.14	0.11	-0.19	-0.25
YEL032W	-0.25	0.17	0.5	0.11	-1.11	-0.41	-1.14	-0.47	0.2	0.98	0.79	0.62	-0.06	-0.27	-0.57	0.01	-0.07	0.5
YEL031W	-0.21	-0.35	-0.11	-0.26	-0.13	-0.03	0.16	0.14	0.2	-0.47	-0.02	-0.1	-0.1	0.0	0.18	0.5	0.62	-0.02
YEL030W	-0.34	-0.1	-0.02	0.15	-0.22	0.53	-0.06	0.27	0.16	0.31	-0.03	-0.09	-0.25	-0.13	-0.21	0.17	-0.13	0.0
YEL029C	0.07	-0.1	-0.37	0.1	-0.07	0.25	-0.16	0.28	0.19	-0.39	0.05	0.07	0.11	-0.01	0.02	0.15	0.0	-0.2
YEL028W	-0.09	0.05	-0.07	-0.04	-0.29	0.31	-0.35	0.05	0.11	0.41	-0.2	0.01	0.17	0.17	-0.67	0.14	0.07	0.2
YEL027W	-0.1	-0.19	-0.18	-0.01	-0.05	-0.06	-0.13	0.19	0.32	-0.21	0.26	-0.15	0.2	-0.01	0.3	0.15	-0.06	-0.27
YEL026W	-0.04	-0.07	-0.42	-0.2	-0.42	0.13	-0.14	0.14	0.22	0.4	0.33	-0.16	0.05	-0.1	0.2	-0.07	0.12	0.03
YEL025C	-0.16	0.15	0.0	0.15	-0.14	-0.24	-0.03	-0.01	0.0	0.02	0.04	0.17	-0.01	-0.56	0.39	-0.07	0.21	0.07
YEL024W	-0.19	0.51	0.68	0.36	-0.22	-0.255	-0.29	-0.09	-0.19	0.14	0.07	-0.02	0.02	-0.14	-0.35	-0.09	-0.04	-0.17
YEL023C	0.03	-0.21	0.06	-0.06	0.38	-0.17	0.22	0.28	0.06	-0.17	-0.13	0.01	0.1	-0.13	-0.06	0.01	-0.07	-0.17
YEL022W	-0.27	-0.24	-0.07	0.31	0.24	0.0	0.07	0.15	0.1	-0.38	0.82	-0.28	-0.07	-0.38	0.49	-0.01	-0.17	-0.29
YEL021W	0.47	-0.16	-0.22	-0.15	-0.06	-0.34	0.1	-0.01	0.3	-0.03	0.02	0.04	0.1	0.06	0.09	-0.01	-0.06	-0.15
YEL020C	0.09	0.16	0.18	0.03	0.0	0.14	0.21	-0.03	-0.04	-0.07	-0.07	-0.01	-0.01	-0.23	-0.17	-0.09	-0.1	0.0
YEL019C	0.04	-0.15	-0.04	0.01	0.52	0.26	0.28	0.2	-0.02	0.14	-0.37	-0.04	0.01	-0.2	-0.24	-0.18	-0.08	-0.13
YEL018W	0.1	-0.18	-0.18	-0.07	0.02	0.1	0.16	0.14	0.05	-0.14	0.16	0.14	0.07	-0.24	-0.12	-0.16	0.19	-0.03
YEL017W	-0.5	-0.45	-0.35	-0.3	0.17	0.16	0.76	0.45	0.17	-0.08	-0.4	-0.4	0.19	0.01	0.46	0.09	0.22	-0.21
YEL017C-A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YEL016C	-0.29	-0.31	-0.29	-0.005	0.138	0.28	0.58	0.27	0.0	-0.02	-0.38	-0.18	0.16	-0.21	0.17	0.06	0.24	-0.09
YEL015W	0.1	-0.31	-0.11	-0.06	0.11	-0.14	0.2	-0.09	0.07	0.1	0.0	0.17	0.03	-0.09	0.0	-0.02	0.06	-0.02
YEL014C	0.1	-0.11	-0.01	-0.09	0.03	0.15	0.28	0.3	0.04	-0.2	-0.26	-0.11	0.04	-0.18	0.05	-0.15	0.15	0.0
YEL013W	0.05	0.12	0.06	0.02	-0.14	-0.17	0.06	-0.03	-0.17	0.15	-0.14	0.26	-0.06	-0.24	-0.03	0.09	0.21	0.03
YEL012W	0.01	0.26	0.3	0.0	-0.22	0.12	-0.44	0.11	0.26	-0.17	0.02	0.07	0.0	0.0	-0.26	0.17	-0.17	-0.03
YEL011W	-0.46	1.14	0.83	0.2	-0.71	-0.12	-0.64	-0.2	0.08	0.35	0.35	0.08	-0.05	-0.5	-0.08	0.19	-0.31	-0.15
YEL010W	-0.01	-0.04	-0.07	0.08	-0.18	0.32	-0.24	0.11	0.22	-0.3	0.1	-0.2	0.07	-0.1	-0.03	0.14	0.06	0.03
YEL009C	-0.12	0.01	-0.06	0.04	-0.11	0.25	-0.24	0.13	0.0	0.13	0.09	-0.34	-0.06	-0.11	0.12	0.07	0.17	0.03
YEL008W	0.69	0.45	0.21	-0.44	0.01	-0.18	0.07	0.01	0.15	-0.25	0.01	-0.05	0.01	-0.02	-0.25	0.01	-0.2	0.21
YEL007W	-0.66	0.04	-0.01	-0.07	-0.34	0.17	-0.3	-0.14	0.1	0.34	0.26	0.1	0.05	0.02	0.15	0.33	-0.12	0.09
YEL006W	0.17	0.155	0.14	-0.04	0.03	-0.27	-0.37	0.13	0.3	-0.28	0.34	-0.16	0.13	0.19	0.18	0.21	-0.47	-0.21
YEL005C	0.19	0.26	-0.08	-0.1	-0.41	0.42	-0.27	0.36	-0.04	-0.03	-0.15	0.04	-0.03	-0.06	-0.48	0.16	0.02	0.18
YEL004W	0.1	0.2	0.25	0.21	-0.15	0.1	-0.28	0.1	0.13	-0.34	0.03	0.04	0.11	-0.12	0.01	-0.07	-0.17	-0.15
YEL003W	-0.23	0.2	0.0	0.18	-0.33	0.32	-0.29	0.25	0.0	0.13	0.045	-0.04	-0.02	-0.25	-0.09	0.04	0.16	-0.05
YEL002C	0.05	-0.4	0.11	-0.07	0.07	0.08	-0.08	-0.15	0.14	-0.32	0.27	-0.02	0.17	0.11	0.19	0.24	-0.29	-0.11
YEL001C	0.0	0.3	0.17	0.15	-0.07	0.26	-0.03	0.13	0.08	-0.09	-0.07	-0.32	-0.02	-0.37	-0.04	0.02	0.02	-0.12
YDR545W	-0.59	-0.12	0.8	0.88	0.22	-0.56	-0.5	-0.48	0.32	-0.12	0.48	0.7	0.08	-0.31	0.08	-0.46	-0.27	-0.17
YDR544C	-0.2	0.03	0.48	0.06	0.15	-0.38	0.03	-0.42	-0.03	0.24	0.06	0.28	0.34	-0.26	-0.14	0.04	-0.18	-0.1
YDR543C	0.05	0.08	0.4	0.12	0.13	0.14	-0.03	-0.03	-0.03	-0.15	-0.03	0.21	0.23	-0.45	-0.1	-0.27	0.05	-0.15
YDR542W	0.29	-0.05	0.29	-0.01	0.2	-0.33	0.01	-0.52	0.12	0.09	-0.01	0.07	0.25	-0.1	-0.01	-0.12	-0.05	-0.12
YDR541C	0.46	0.06	0.28	0.3	-0.065	-0.43	0.18	-0.13	-0.08	-0.06	0.04	0.01	0.22	-0.09	-0.18	-0.24	-0.32	-0.02
YDR540C	0.08	0.39	0.18	-0.02	0.08	-0.15	0.05	-0.22	-0.02	0.18	-0.04	0.2	0.12	-0.04	-0.24	-0.31	-0.2	-0.02
YDR539W	0.33	0.05	0.25	0.46	0.175	-0.11	0.12	-0.16	-0.08	-0.04	0.09	0.14	0.32	-0.3	-0.14	-0.41	-0.14	-0.37
YDR538W	-0.04	-0.07	0.15	0.32	0.21	0.11	0.24	-0.11	-0.11	0.06	-0.18	0.13	0.15	-0.26	0.01	-0.34	-0.08	-0.18
YDR537C	0.04	-0.26	0.22	0.19	0.13	0.07	0.4	-0.15	-0.04	-0.07	-0.06	0.0	0.4	-0.03	-0.06	-0.24	-0.11	-0.31
YDR536W	0.18	-0.02	0.39	-0.07	-0.01	-0.145	-0.28	-0.23	0.03	0.45	-0.32	-0.08	-0.36	1.2	-0.38	-0.23	-0.18	-0.08
YDR535C	0.21	-0.13	0.57	0.28	0.135	-0.01	0.25	0.25	-0.26	0.02	-0.19	-0.05	0.06	0.17	-0.45	-0.19	0.17	-0.37
YDR534C	-0.89	-1.01	-0.67	-0.58	-0.33	-0.39	0.13	-0.06	0.22	0.52	0.26	0.35	0.45	0.15	0.34	0.41	0.7	0.42
YDR533C	0.06	0.35	0.64	0.63	0.25	0.27	0.02	-0.01	0.05	-0.51	-0.14	-0.39	0.04	-0.23	-0.01	0.09	-0.37	-0.39
YDR532C	-0.31	0.18	-0.02	0.22	-0.57	0.41	-0.31	0.3	-0.17	0.21	-0.09	0.12	0.11	-0.05	-0.16	0.14	0.0	-0.02
YDR531W	0.12	0.205	0.29	0.22	-0.01	-0.01	-0.19	-0.02	0.26	-0.21	0.23	-0.1	0.1	-0.08	-0.08	-0.04	-0.37	-0.11
YDR530C	-0.07	0.56	0.21	-0.05	-0.28	-0.08	-0.62	-0.07	0.16	0.29	0.32	-0.01	0.28	-0.14	-0.34	-0.2	-0.05	0.07
YDR529C	-0.15	-0.02	0.44	0.37	-0.16	0.08	-0.26	0.02	0.21	-0.35	0.25	-0.28	0.29	-0.22	0.1	-0.02	-0.16	-0.13
YDR528W	-1.63	0.77	1.51	0.76	-0.1	-0.03	-0.54	-0.61	-0.03	0.17	0.4	0.29	0.11	-0.08	-0.32	-0.1	-0.49	-0.07
YDR527W	-0.24	-0.37	-0.5	-0.15	-0.25	0.16	-0.03	0.24	0.17	-0.16	0.16	0.1	0.24	0.0	-0.16	0.34	-0.1	0.16
YDR526C	-0.57	-0.32	-0.32	-0.24	-0.26	0.28	-0.07	0.16	0.15	0.44	0.08	0.1	-0.03	0.04	-0.16	0.32	0.08	0.32
YDR525W	-0.09	-2.16	-0.11	0.07	0.06	0.34	-0.11	0.49	0.22	0.1	0.3	0.2	0.13	-0.07	0.09	0.34	0.13	0.09
YDR524C	-0.15	-0.03	0.02	0.05	-0.33	0.34	-0.52	0.0	0.05	0.27	-0.08	0.06	0.02	-0.11	-0.18	0.19	0.27	0.15
YDR523C	-0.18	1.11	-0.13	-0.49	-0.13	-0.02	-0.2	0.32	0.27	-0.07	0.06	-0.16	0.01	-0.31	0.19	-0.1	-0.13	-0.05
YDR522C	-0.5	-0.07	-0.08	-0.58	-0.14	0.09	-0.32	0.33	0.37	0.57	-0.01	0.1	-0.12	-0.1	-0.2	0.31	0.1	0.26
YDR521W	0.28	-0.01	-0.03	-0.03	0.03	0.09	0.14	0.17	-0.09	0.23	-0.2	-0.19	0.06	-0.17	-0.2	-0.11	-0.02	0.07
YDR520C	0.12	-0.13	0.09	-0.02	0.16	-0.07	0.09	-0.01	0.09	0.32	0.01	-0.02	-0.11	-0.11	-0.2	-0.22	-0.07	0.09
YDR519W	0.13	-0.01	0.05	0.1	0.03	-0.04	0.35	-0.14	0.03	-0.03	-0.07	-0.14	0.26	-0.32	0.15	-0.32	0.28	-0.29
YDR518W	-0.08	-0.21	0.33	0.45	0.45	0.19	0.49	-0.29	-0.21	0.09	-0.27	0.03	0.1	0.03	0.03	-0.33	-0.36	-0.46
YDR517W	0.13	0.14	0.15	0.04	-0.09	-0.22	0.13	-0.44	-0.16	0.02	0.15	0.24	0.42	-0.2	0.04	-0.14	-0.05	-0.12
YDR516C	-0.02	0.86	1.05	0.59	0.16	-0.45	-0.43	-0.79	-0.47	0.12	-0.02	0.02	0.35	-0.21	-0.08	-0.18	-0.14	-0.37
YDR515W	-0.05	2.5	-0.16	-0.01	-0.045	-0.08	0.13	0.06	-0.06	-0.16	-0.32	-0.22	-0.14	-0.49	-0.49	-0.34	-0.29	0.12
YDR514C	0.14	-0.32	0.04	0.26	0.02	-0.21	0.01	-0.11	0.08	0.58	-0.05	-0.16	-0.28	-0.16	-0.11	-0.02	0.15	0.16
YDR513W	0.07	0.45	0.63	0.44	0.155	-0.13	0.01	-0.19	-0.08	-0.09	-0.06	-0.22	0.17	-0.43	0.02	-0.45	0.22	-0.37
YDR512C	0.06	0.17	0.32	0.35	0.06	-0.23	0.03	-0.21	0.09	0.26	-0.17	-0.04	-0.09	-0.21	-0.09	-0.32	0.15	-0.14
YDR511W	0.1	0.12	0.23	0.15	0.085	0.02	0.33	-0.13	0.02	-0.01	-0.11	-0.18	0.25	-0.47	-0.04	-0.34	0.19	-0.15
YDR510W	-0.43	-0.6	0.01	0.0	0.29	-0.08	0.44	0.1	0.32	0.32	-0.13	-0.03	-0.17	0.03	0.04	-0.14	0.24	-0.21
YDR509W	-0.49	-0.09	0.51	0.22	0.16	0.1	0.06	0.18	-0.1	0.04	-0.2	-0.22	-0.13	-0.47	0.17	0.1	0.26	-0.09
YDR508C	-0.8	-0.08	0.42	0.35	0.15	0.13	-0.14	-0.11	0.09	0.2	0.21	0.0	-0.03	-0.33	0.09	0.09	-0.06	-0.17
YDR507C	-1.76	-0.34	0.18	1.07	0.37	0.32	-0.5	-0.25	-0.48	-0.25	0.79	0.97	0.53	0.13	0.07	0.14	-0.56	-0.41
YDR506C	-0.3	-0.12	0.21	-0.28	-0.22	0.16	-0.34	-0.05	0.22	0.21	0.25	0.05	0.07	-0.02	-0.2	0.24	-0.02	0.13
YDR505C	-0.24	0.47	0.0	0.3	-0.15	0.1	-0.29	-0.01	-0.22	-0.2	-0.01	0.07	-0.03	-0.11	0.0	0.25	0.02	0.05
YDR504C	-0.34	0.25	0.25	0.12	-0.1	0.25	-0.32	0.0	0.0	0.14	0.14	-0.14	0.05	-0.05	-0.25	0.16	0.14	-0.28
YDR503C	-0.21	0.46	0.34	0.81	0.0	0.18	-0.37	-0.24	-0.14	-0.34	0.03	0.26	0.32	-0.14	-0.19	-0.16	-0.28	-0.34
YDR502C	-0.64	-0.03	0.03	-0.26	-0.42	0.37	0.15	0.45	0.64	0.35	0.3	-0.28	-0.4	-0.42	-0.17	0.31	0.12	-0.1
YDR501W	-0.68	0.17	-0.13	0.65	0.14	0.24	-0.2	0.0	0.1	-0.57	-0.11	0.32	0.21	0.07	0.1	0.21	-0.15	-0.36
YDR500C	-0.19	-0.15	-0.17	-0.04	-0.33	0.01	-0.44	-0.21	0.31	0.36	0.12	-0.1	0.1	-0.06	0.25	0.27	0.21	0.06
YDR499W	-0.16	-0.085	-0.01	0.07	-0.09	-0.03	-0.13	0.04	0.17	-0.16	0.14	0.11	0.19	-0.11	-0.09	0.31	-0.29	0.04
YDR498C	-0.38	-0.12	-0.08	-0.21	-0.02	0.24	-0.24	-0.19	0.15	0.31	0.08	0.17	0.06	0.03	-0.1	0.14	0.15	0.02
YDR497C	-0.33	-0.23	0.44	-0.1	0.135	0.37	0.21	-0.29	0.01	-0.36	0.91	-0.23	0.05	-0.05	0.33	-0.09	-0.05	-0.59
YDR496C	0.1	-0.79	-0.19	-0.1	0.37	0.13	0.09	0.06	0.16	0.07	0.43	-0.1	0.07	-0.3	0.07	-0.27	0.24	-0.02
YDR495C	-0.1	-0.34	0.12	-0.12	0.015	0.15	0.04	-0.1	0.12	-0.2	0.59	-0.07	0.06	-0.37	0.21	0.11	-0.06	-0.04
YDR494W	0.2	-0.2	-0.205	-0.21	-0.24	-0.27	0.32	0.02	0.2	0.14	-0.01	-0.01	0.29	-0.23	-0.2	-0.16	0.1	0.01
YDR493W	-0.02	-0.08	0.34	-0.25	-0.045	0.16	0.18	-0.1	0.24	-0.23	1.1	-0.13	-0.11	-0.54	-0.21	-0.19	0.01	-0.18
YDR492W	0.46	-0.215	-0.552	-0.89	-0.725	-0.56	0.14	-0.23	0.14	0.26	0.16	0.18	0.67	-0.11	-0.27	-0.32	0.2	0.18
YDR491C	0.18	-0.4	-0.05	-0.36	-0.2	-0.04	0.3	0.23	0.18	-0.04	0.0	-0.05	0.29	0.15	-0.07	-0.27	-0.155	-0.04
YDR490C	0.32	0.12	0.02	-0.08	-0.14	-0.2	0.08	-0.2	0.09	0.04	-0.03	0.08	0.36	-0.32	0.04	-0.08	-0.03	-0.08
YDR489W	-0.04	-0.15	0.6	0.04	0.155	0.27	0.21	-0.12	-0.14	-0.23	-0.26	0.1	0.14	-0.15	-0.07	-0.24	0.14	-0.1
YDR488C	-0.32	-0.56	-0.155	0.25	0.325	0.363	0.4	0.07	-0.13	-0.05	-0.23	0.13	0.37	-0.03	0.23	-0.08	0.07	-0.11
YDR487C	0.13	-0.13	0.29	-0.23	0.0	0.23	0.25	-0.07	0.21	-0.18	0.12	-0.12	0.1	-0.07	0.02	-0.28	0.22	-0.49
YDR486C	0.4	-0.1	-0.065	-0.03	-0.095	-0.16	0.21	-0.08	0.11	0.17	-0.14	-0.19	0.14	-0.32	-0.05	-0.13	0.14	0.03
YDR485C	-0.29	-0.06	0.19	0.06	0.01	-0.21	-0.45	0.28	0.22	-0.12	-0.015	0.09	0.01	-0.16	-0.09	0.65	-0.16	0.04
YDR484W	-0.39	0.17	-0.14	0.21	-0.15	0.24	-0.38	0.02	0.15	-0.04	0.03	0.01	0.02	0.08	0.09	0.15	-0.12	0.03
YDR483W	-0.03	-0.04	0.29	0.05	0.42	-0.14	-0.37	-0.18	0.29	-0.01	-0.06	-0.11	0.02	-0.09	0.18	0.25	-0.52	-0.01
YDR482C	-0.14	0.56	0.08	-0.05	-0.33	0.06	-0.47	0.26	0.46	0.02	-0.03	-0.05	0.19	-0.12	-0.38	0.14	-0.1	-0.09
YDR481C	-0.85	-0.43	0.27	0.08	0.44	-0.1	-0.43	-0.05	0.25	0.27	0.63	0.99	0.86	0.33	0.2	0.06	-0.93	-0.96
YDR480W	0.34	1.76	0.34	0.61	0.26	0.33	-0.02	-0.11	-0.42	-0.05	-0.11	-0.08	-0.29	-0.4	-0.47	-0.47	-0.58	-0.65
